#{"t_start": 1774518987.7821171, "env_id": "None"}
r,l,t
-961.7025,254,13206.631011
574.84454,77,13210.451759
-580.2329,213,13211.191371
-174.75967,196,13211.95719
-227.25989,36,13215.591824
-1197.4419,361,13217.24708
-663.9835,286,13218.423792
33.27629,100,13221.655661
131.99246,113,13222.813379
202.83292,32,13223.195065
-446.62912,195,13224.87387
-52.42508,16,13224.87387
-201.36249,47,13225.274577
109.17987,80,13226.432914
762.8044,74,13227.635488
-157.1993,41,13228.432746
-553.6545,192,13230.002579
-92.71576,16,13231.126765
-1480.4802,361,13233.455022
-506.224,212,13236.530111
-1519.4949,361,13238.498244
551.8583,41,13242.219209
358.48215,51,13242.618409
-79.816086,12,13243.005589
-1488.5782,360,13245.29739
257.97504,32,13245.672519
287.12622,61,13248.677971
360.36975,124,13249.869571
-42.036663,80,13254.103074
-371.04364,254,13254.103074
271.0939,71,13255.697107
-187.62045,202,13256.451375
-1500.1952,361,13257.225649
129.82503,92,13257.225649
150.96326,111,13258.777117
-1382.2076,334,13261.890995
330.01407,50,13262.293125
